Date, Open, High, Low, Close, Volume, Open Interest
2020-11-26, o-429.33, h-438.72, l-428.78, c-437.75, v-415995, oi-0.0
2020-11-29, o-440.54, h-441.29, l-433.67, c-437.6, v-454839, oi-0.0
2020-11-30, o-447.1, h-451.73, l-444.48, c-449.24, v-641228, oi-0.0
2020-12-01, o-447.16, h-452.11, l-444.26, c-451.15, v-1020405, oi-0.0
2020-12-02, o-457.01, h-459.22, l-452.31, c-452.36, v-645484, oi-0.0
2020-12-03, o-454, h-464.5, l-453.47, c-464.22, v-513802, oi-0.0
2020-12-06, o-464.56, h-471.01, l-464.1, c-469.73, v-576379, oi-0.0
2020-12-07, o-465.92, h-470.85, l-464.94, c-468.96, v-684818, oi-0.0
2020-12-08, o-463.8, h-465.96, l-450.52, c-452.51, v-687128, oi-0.0
2020-12-09, o-451.14, h-458.88, l-449.12, c-457.74, v-467187, oi-0.0
2020-12-10, o-453.81, h-457.15, l-451.84, c-452.77, v-444791, oi-0.0
2020-12-13, o-452.34, h-456.82, l-452.17, c-453.06, v-452760, oi-0.0
2020-12-14, o-464.51, h-469.62, l-461.885, c-469.62, v-594304, oi-0.0
2020-12-15, o-467.99, h-472.24, l-465.01, c-471.01, v-484489, oi-0.0
2020-12-16, o-478.73, h-481.32, l-476.01, c-477.32, v-440040, oi-0.0
2020-12-17, o-478.49, h-479.45, l-474.32, c-477.62, v-490535, oi-0.0
2020-12-20, o-460.26, h-472.23, l-459.48, c-472.13, v-563839, oi-0.0
2020-12-21, o-473.48, h-478.62, l-472.95, c-476.78, v-407733, oi-0.0
2020-12-22, o-478.94, h-480.39, l-474.2, c-474.2, v-358004, oi-0.0
2020-12-23, o-478.9454, h-484.6, l-477.08, c-483.3214, v-207014, oi-0.0
2020-12-27, o-487.14, h-488.72, l-478.4296, c-480.91, v-411243, oi-0.0
2020-12-28, o-489.45, h-489.45, l-482.51, c-484.03, v-349487, oi-0.0
2020-12-29, o-488.13, h-492.66, l-488, c-489.87, v-345748, oi-0.0
2020-12-30, o-490, h-490.52, l-483.445, c-487.1, v-274030, oi-0.0
2021-01-03, o-499.99, h-504.75, l-490.71, c-500.25, v-1448116, oi-0.0
2021-01-04, o-494.16, h-505.35, l-493.89, c-505.3, v-990746, oi-0.0
2021-01-05, o-491.85, h-499.8449, l-489.74, c-489.8, v-911952, oi-0.0
2021-01-06, o-495.97, h-503.22, l-495.52, c-501.43, v-851991, oi-0.0
2021-01-07, o-512.59, h-514.28, l-501.71, c-508.75, v-689958, oi-0.0
2021-01-10, o-500.5, h-508.905, l-499.43, c-508.27, v-540868, oi-0.0
2021-01-11, o-507.1, h-514.79, l-503.5, c-514.1, v-613749, oi-0.0
2021-01-12, o-511.21, h-515.605, l-509.38, c-514.06, v-477814, oi-0.0
2021-01-13, o-530.16, h-546.3999, l-529.89, c-544.78, v-1393862, oi-0.0
2021-01-14, o-532.31, h-536.85, l-525.36, c-527.57, v-790465, oi-0.0
2021-01-18, o-533, h-550.48, l-530.6101, c-548.58, v-1432437, oi-0.0
2021-01-19, o-555.57, h-558.16, l-543.16, c-549.38, v-1012930, oi-0.0
2021-01-20, o-568, h-573.7987, l-565.605, c-570.74, v-1172212, oi-0.0
2021-01-21, o-563.49, h-570.7129, l-562.79, c-569.46, v-836872, oi-0.0
2021-01-24, o-562.15, h-568.2175, l-554.12, c-567.18, v-906098, oi-0.0
2021-01-25, o-563.18, h-563.65, l-548.44, c-548.96, v-831934, oi-0.0
2021-01-26, o-534.97, h-539.5187, l-522.5, c-524.63, v-1388696, oi-0.0
2021-01-27, o-542.11, h-553.84, l-537.38, c-547.81, v-861675, oi-0.0
2021-01-28, o-540.96, h-543.5, l-531.86, c-533.55, v-637981, oi-0.0
2021-01-31, o-547.4, h-555.47, l-544.53, c-554.48, v-753573, oi-0.0
2021-02-01, o-553.78, h-556.79, l-549.45, c-553.5, v-603529, oi-0.0
2021-02-02, o-551.29, h-551.72, l-541.95, c-542.98, v-584935, oi-0.0
2021-02-03, o-546.96, h-555.98, l-544.28, c-555.71, v-461481, oi-0.0
2021-02-04, o-554.96, h-556.14, l-551.02, c-553.06, v-416108, oi-0.0
2021-02-07, o-557.97, h-566.93, l-557.97, c-563.85, v-646193, oi-0.0
2021-02-08, o-566.54, h-571.93, l-565.495, c-565.55, v-440444, oi-0.0
2021-02-09, o-571.43, h-573.06, l-559.7, c-566.06, v-421759, oi-0.0
2021-02-10, o-574.63, h-591.79, l-573.83, c-590.98, v-923775, oi-0.0
2021-02-11, o-591.97, h-601.462, l-589.15, c-597.52, v-683663, oi-0.0
2021-02-15, o-605.58, h-608.71, l-599.17, c-603.31, v-544417, oi-0.0
2021-02-16, o-598.35, h-598.48, l-581.46, c-587.69, v-783186, oi-0.0
2021-02-17, o-584.36, h-589.462, l-576.05, c-582.22, v-656978, oi-0.0
2021-02-18, o-591.84, h-600.75, l-589.39, c-594.4, v-759946, oi-0.0
2021-02-21, o-587.62, h-590.12, l-576.5, c-578.84, v-645536, oi-0.0
2021-02-22, o-571.72, h-579.18, l-560.13, c-576.07, v-916360, oi-0.0
2021-02-23, o-573.34, h-595.96, l-565.55, c-595.02, v-936246, oi-0.0
2021-02-24, o-582.63, h-586.4, l-559.66, c-559.66, v-1129317, oi-0.0
2021-02-25, o-572.34, h-573.49, l-560.7, c-567.09, v-864670, oi-0.0
2021-02-28, o-572.37, h-584.36, l-568.86, c-584.2, v-572316, oi-0.0
2021-03-01, o-579.03, h-579.87, l-563, c-563, v-603106, oi-0.0
2021-03-02, o-564.59, h-565.95, l-541.195, c-543.72, v-923327, oi-0.0
2021-03-03, o-537.85, h-541.33, l-502.0889, c-510.25, v-1572670, oi-0.0
2021-03-04, o-527.97, h-530.85, l-508.33, c-527.05, v-1165626, oi-0.0
2021-03-07, o-526.44, h-529.17, l-501.11, c-502.36, v-1047709, oi-0.0
2021-03-08, o-527.64, h-543.21, l-524.95, c-539.52, v-1000452, oi-0.0
2021-03-09, o-540.08, h-541.82, l-521.11, c-523.23, v-815436, oi-0.0
2021-03-10, o-546.99, h-548.49, l-540.01, c-544.4, v-810481, oi-0.0
2021-03-11, o-534.12, h-539.08, l-528.6, c-537.62, v-662731, oi-0.0
2021-03-14, o-538.67, h-547.8, l-536.01, c-547.7, v-506308, oi-0.0
2021-03-15, o-546.38, h-555.73, l-545.96, c-549.46, v-603276, oi-0.0
2021-03-16, o-548.22, h-566.05, l-542.86, c-559.78, v-774222, oi-0.0
2021-03-17, o-547.98, h-552.475, l-539.02, c-539.05, v-684111, oi-0.0
2021-03-18, o-544.69, h-557.09, l-541.31, c-547.42, v-1098929, oi-0.0
2021-03-21, o-567.64, h-577.99, l-563.83, c-576, v-1131208, oi-0.0
2021-03-22, o-569.52, h-571.28, l-555.5, c-558.26, v-710779, oi-0.0
2021-03-23, o-587.18, h-594.465, l-578, c-578.06, v-1705505, oi-0.0
2021-03-24, o-570.91, h-585.84, l-569.09, c-584, v-986535, oi-0.0
2021-03-25, o-588.69, h-627.3, l-588.69, c-626.53, v-1687701, oi-0.0
2021-03-28, o-614.7644, h-616.855, l-601.44, c-608, v-1106528, oi-0.0
2021-03-29, o-599.92, h-606.26, l-595.52, c-601.68, v-957905, oi-0.0
2021-03-30, o-605.63, h-620.94, l-605.2, c-618, v-1382564, oi-0.0
2021-03-31, o-619.8, h-639.49, l-619.75, c-638.3, v-1722567, oi-0.0
2021-04-04, o-651.8, h-653, l-638.03, c-641, v-1380775, oi-0.0
2021-04-05, o-633.41, h-635.75, l-618.3781, c-628.09, v-1187026, oi-0.0
2021-04-06, o-627.16, h-631.4, l-622.19, c-626.75, v-727287, oi-0.0
2021-04-07, o-635.96, h-641.59, l-632.75, c-641.12, v-746391, oi-0.0
2021-04-08, o-634, h-638.71, l-628.55, c-634, v-561254, oi-0.0
2021-04-11, o-631.56, h-631.58, l-620.62, c-630.45, v-663362, oi-0.0
2021-04-12, o-635.63, h-636.74, l-623.72, c-629.74, v-661573, oi-0.0
2021-04-13, o-635.67, h-641.09, l-627.04, c-631.47, v-588263, oi-0.0
2021-04-14, o-633.14, h-642.9, l-627.52, c-642.1, v-860327, oi-0.0
2021-04-15, o-639.94, h-647.9369, l-638.48, c-645.97, v-519918, oi-0.0
2021-04-18, o-637.64, h-639.26, l-622.45, c-629.88, v-1032669, oi-0.0
2021-04-19, o-625.75, h-627.79, l-612.78, c-616.75, v-896380, oi-0.0
2021-04-20, o-637.49, h-655.84, l-635.935, c-655.39, v-1991731, oi-0.0
2021-04-21, o-664, h-665.866, l-640.48, c-648.08, v-1000558, oi-0.0
2021-04-22, o-659.45, h-671.28, l-658.37, c-671.15, v-962469, oi-0.0
2021-04-25, o-667.13, h-675.65, l-666.96, c-670.44, v-688439, oi-0.0
2021-04-26, o-669.87, h-674.84, l-661.79, c-672.82, v-594495, oi-0.0
2021-04-27, o-664.45, h-670.86, l-661.28, c-665.34, v-487471, oi-0.0
2021-04-28, o-665.91, h-666.63, l-654.06, c-662.81, v-434869, oi-0.0
2021-04-29, o-653.92, h-661.05, l-645.7, c-648.74, v-455369, oi-0.0
2021-05-02, o-658, h-658.08, l-647.71, c-654.43, v-576184, oi-0.0
2021-05-03, o-635.67, h-639.23, l-615.91, c-629.44, v-1383160, oi-0.0
2021-05-04, o-642, h-651.98, l-635.82, c-641.19, v-829731, oi-0.0
2021-05-05, o-638.27, h-644.64, l-629.93, c-644.5, v-489967, oi-0.0
2021-05-06, o-650.97, h-661.29, l-647.7068, c-659.31, v-503587, oi-0.0
2021-05-09, o-648.39, h-648.64, l-626.59, c-627.19, v-723111, oi-0.0
2021-05-10, o-616.12, h-633.66, l-614.61, c-630.74, v-827025, oi-0.0
2021-05-11, o-615.33, h-619.71, l-600.26, c-601.72, v-974516, oi-0.0
2021-05-12, o-621.26, h-628.75, l-611.81, c-622.93, v-1248810, oi-0.0
2021-05-13, o-630.14, h-651.14, l-625.41, c-647.71, v-1181121, oi-0.0
2021-05-16, o-632, h-636.075, l-623.3, c-635.35, v-841235, oi-0.0
2021-05-17, o-641.4, h-643.76, l-631.61, c-632.29, v-587755, oi-0.0
2021-05-18, o-608.01, h-630.98, l-606.64, c-630.18, v-826357, oi-0.0
2021-05-19, o-632.69, h-652.25, l-631.75, c-649.1, v-981379, oi-0.0
2021-05-20, o-645.864, h-647.36, l-636.18, c-639.18, v-743003, oi-0.0
2021-05-23, o-647.5, h-662.259, l-645.76, c-659.2, v-700470, oi-0.0
2021-05-24, o-671.17, h-679.4438, l-667.28, c-672.3, v-977200, oi-0.0
2021-05-25, o-667.22, h-669.54, l-659.8579, c-662.5, v-332227, oi-0.0
