Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27 23:00:00, 44.14, 44.98, 44.01, 44.24, 11703370, 0.0
2020-05-28 23:00:00, 44.3, 45.65, 43.88, 45.47, 12429725, 0.0
2020-05-31 23:00:00, 45.4, 45.97, 45.01, 45.22, 16266696, 0.0
2020-06-01 23:00:00, 45.24, 46.225, 45.14, 45.99, 15907738, 0.0
2020-06-02 23:00:00, 46.35, 46.716, 46.08, 46.44, 13267940, 0.0
2020-06-03 23:00:00, 51.34, 51.88, 48.8, 49.4, 28509418, 0.0
2020-06-04 23:00:00, 49.235, 49.7, 48.24, 48.835, 15184353, 0.0
2020-06-07 23:00:00, 48.3, 49.05, 47.835, 48.71, 21650768, 0.0
2020-06-08 23:00:00, 48.87, 49.995, 48.57, 49.79, 17283466, 0.0
2020-06-09 23:00:00, 50.25, 50.34, 49.07, 49.26, 8431066, 0.0
2020-06-10 23:00:00, 49.43, 49.815, 47.685, 47.94, 18424930, 0.0
2020-06-11 23:00:00, 48.39, 48.83, 47.75, 47.75, 2226926, 0.0
2020-06-14 23:00:00, 46.94, 48.12, 46.64, 47.9, 22107398, 0.0
2020-06-15 23:00:00, 48.49, 48.7297, 47.54, 48.17, 17079519, 0.0
2020-06-16 23:00:00, 48.26, 49.1, 48.21, 48.43, 16168221, 0.0
2020-06-17 23:00:00, 48.55, 49.09, 48.18, 48.45, 17966441, 0.0
2020-06-18 23:00:00, 48.73, 48.95, 47.42, 48.27, 15359087, 0.0
2020-06-21 23:00:00, 48.34, 49.32, 48.01, 49.17, 7265292, 0.0
2020-06-22 23:00:00, 49.59, 50.32, 49.1, 49.8, 10554542, 0.0
2020-06-23 23:00:00, 49.8046, 50.45, 48.6489, 48.78, 8467398, 0.0
2020-06-24 23:00:00, 48.72, 49.54, 48.41, 49.41, 7988063, 0.0
2020-06-25 23:00:00, 50.89, 51.28, 50.075, 50.89, 12092339, 0.0
2020-06-28 23:00:00, 51.07, 51.34, 50.12, 51.3, 8189404, 0.0
2020-06-29 23:00:00, 51.42, 52.745, 51.32, 52.45, 9193796, 0.0
2020-06-30 23:00:00, 52.71, 53.43, 51.32, 52.97, 11726803, 0.0
2020-07-01 23:00:00, 53.59, 54.88, 53.55, 54.36, 7785181, 0.0
2020-07-05 23:00:00, 55.49, 56.965, 54.94, 56.16, 9064305, 0.0
2020-07-06 23:00:00, 55.9549, 57.55, 55.93, 57.01, 8753688, 0.0
2020-07-07 23:00:00, 57.35, 58.455, 56.88, 58.27, 10103222, 0.0
2020-07-08 23:00:00, 58.7298, 60.53, 58.515, 59.22, 14213172, 0.0
2020-07-09 23:00:00, 59.35, 59.89, 58.12, 59.27, 10023580, 0.0
2020-07-12 23:00:00, 60.285, 61.06, 57.8901, 58.31, 10757693, 0.0
2020-07-13 23:00:00, 57.75, 59.29, 57.28, 59.07, 8623071, 0.0
2020-07-14 23:00:00, 58.82, 59.13, 57.24, 58.39, 9747098, 0.0
2020-07-15 23:00:00, 57.9, 58.92, 57.9, 58.58, 6443147, 0.0
2020-07-16 23:00:00, 58.93, 59.11, 57.775, 58.13, 4448273, 0.0
2020-07-19 23:00:00, 58.71, 58.8, 57.77, 58.46, 5388061, 0.0
2020-07-20 23:00:00, 59.08, 59.55, 55.69, 56.59, 17344145, 0.0
2020-07-21 23:00:00, 56.67, 57.43, 56.125, 56.34, 7623333, 0.0
2020-07-22 23:00:00, 56.44, 56.82, 54.86, 55.16, 6037471, 0.0
2020-07-23 23:00:00, 55.02, 55.36, 54.04, 55.13, 6146964, 0.0
2020-07-26 23:00:00, 55.7313, 57.38, 55.53, 57.23, 6395793, 0.0
2020-07-27 23:00:00, 57.11, 57.34, 56.11, 56.37, 8271131, 0.0
2020-07-28 23:00:00, 55.19, 56.04, 53.66, 54.53, 13481892, 0.0
2020-07-29 23:00:00, 54, 54.9382, 53.73, 54.73, 7639602, 0.0
2020-07-30 23:00:00, 55.06, 55.83, 54.325, 55.27, 7960759, 0.0
2020-08-02 23:00:00, 55.69, 56.82, 55.57, 56.57, 6119084, 0.0
2020-08-03 23:00:00, 56.2721, 56.775, 55.7804, 56.34, 5688566, 0.0
2020-08-04 23:00:00, 56.47, 56.925, 55.9764, 56.64, 6327632, 0.0
2020-08-05 23:00:00, 55.99, 56.53, 54.84, 55.09, 7575865, 0.0
2020-08-06 23:00:00, 55.34, 55.915, 54.775, 55.21, 5344809, 0.0
2020-08-09 23:00:00, 54.75, 54.92, 54.02, 54.37, 4507155, 0.0
2020-08-10 23:00:00, 54.21, 55.644, 53.7, 54.3, 8125212, 0.0
2020-08-11 23:00:00, 54.4, 56.2, 54.39, 55.49, 6442939, 0.0
2020-08-12 23:00:00, 55.6, 57.06, 55.6, 56.28, 6957821, 0.0
2020-08-13 23:00:00, 56.53, 57.6, 55.87, 56.29, 5429438, 0.0
2020-08-16 23:00:00, 56.69, 57.5698, 56.295, 57.35, 4933758, 0.0
2020-08-17 23:00:00, 57.5673, 57.88, 56.94, 57.03, 4451859, 0.0
2020-08-18 23:00:00, 57.145, 58.38, 57.03, 57.71, 6430292, 0.0
