Date, Open, High, Low, Close, Volume, Open Interest
2021-05-21, o-510.78, h-510.78, l-510.78, c-510.78, v-100, oi-0.0
2021-05-21, o-510.68, h-510.68, l-510.68, c-510.68, v-113, oi-0.0
2021-05-21, o-510.59, h-510.59, l-510.59, c-510.59, v-256, oi-0.0
2021-05-21, o-510.59, h-510.59, l-510.59, c-510.59, v-151, oi-0.0
2021-05-21, o-511.72, h-511.72, l-511.43, c-511.43, v-438, oi-0.0
2021-05-21, o-511.215, h-511.215, l-511.215, c-511.215, v-210, oi-0.0
2021-05-21, o-511.12, h-511.12, l-511.12, c-511.12, v-100, oi-0.0
2021-05-21, o-510.3, h-510.3, l-510.3, c-510.3, v-157, oi-0.0
2021-05-21, o-510.1, h-510.1, l-510.1, c-510.1, v-109, oi-0.0
2021-05-21, o-510.37, h-510.37, l-510.37, c-510.37, v-136, oi-0.0
2021-05-21, o-510.02, h-510.02, l-510.01, c-510.01, v-223, oi-0.0
2021-05-21, o-510.09, h-510.09, l-510.09, c-510.09, v-116, oi-0.0
2021-05-21, o-510.16, h-510.16, l-509.89, c-510, v-563, oi-0.0
2021-05-21, o-509.43, h-509.43, l-509.29, c-509.29, v-302, oi-0.0
2021-05-21, o-510, h-510, l-509.89, c-509.89, v-414, oi-0.0
2021-05-21, o-510.2, h-510.2, l-510.2, c-510.2, v-159, oi-0.0
2021-05-21, o-510.6, h-510.93, l-510.6, c-510.93, v-225, oi-0.0
2021-05-21, o-510.52, h-510.52, l-510.51, c-510.51, v-284, oi-0.0
2021-05-21, o-510.375, h-510.375, l-510.29, c-510.29, v-452, oi-0.0
2021-05-21, o-509.92, h-509.92, l-509.92, c-509.92, v-125, oi-0.0
2021-05-21, o-509.61, h-509.61, l-509.61, c-509.61, v-105, oi-0.0
2021-05-21, o-509.81, h-509.81, l-509.78, c-509.78, v-407, oi-0.0
2021-05-21, o-509.3, h-509.3, l-509.3, c-509.3, v-106, oi-0.0
2021-05-21, o-509.63, h-509.63, l-509.63, c-509.63, v-134, oi-0.0
2021-05-21, o-509.89, h-509.89, l-509.89, c-509.89, v-136, oi-0.0
2021-05-21, o-510.09, h-510.09, l-510.09, c-510.09, v-203, oi-0.0
2021-05-21, o-510.2, h-510.2, l-510.2, c-510.2, v-101, oi-0.0
2021-05-21, o-510.63, h-510.63, l-510.63, c-510.63, v-146, oi-0.0
2021-05-21, o-510.99, h-510.99, l-510.99, c-510.99, v-111, oi-0.0
2021-05-21, o-510.2, h-510.2, l-510.2, c-510.2, v-160, oi-0.0
2021-05-21, o-510.4, h-510.4, l-510.4, c-510.4, v-121, oi-0.0
2021-05-21, o-510.19, h-510.19, l-510.19, c-510.19, v-108, oi-0.0
2021-05-21, o-510.21, h-510.21, l-510.21, c-510.21, v-207, oi-0.0
2021-05-21, o-510.1, h-510.1, l-510.1, c-510.1, v-102, oi-0.0
2021-05-21, o-510.1, h-510.185, l-510.1, c-510.185, v-203, oi-0.0
2021-05-21, o-510.055, h-510.055, l-509.97, c-509.97, v-396, oi-0.0
2021-05-21, o-509.74, h-509.74, l-509.74, c-509.74, v-163, oi-0.0
2021-05-21, o-509.75, h-509.75, l-509.75, c-509.75, v-153, oi-0.0
2021-05-21, o-509.855, h-509.855, l-509.85, c-509.85, v-286, oi-0.0
2021-05-21, o-510.19, h-510.19, l-510.19, c-510.19, v-173, oi-0.0
2021-05-21, o-510.24, h-510.27, l-510.24, c-510.27, v-242, oi-0.0
2021-05-21, o-510.325, h-510.325, l-510.325, c-510.325, v-214, oi-0.0
2021-05-21, o-510.44, h-510.44, l-510.44, c-510.44, v-279, oi-0.0
2021-05-21, o-510.35, h-510.35, l-510.35, c-510.35, v-131, oi-0.0
2021-05-21, o-510.17, h-510.17, l-510.17, c-510.17, v-214, oi-0.0
2021-05-21, o-510.07, h-510.07, l-510.07, c-510.07, v-173, oi-0.0
2021-05-21, o-509.335, h-509.335, l-509.335, c-509.335, v-203, oi-0.0
2021-05-21, o-508.77, h-508.77, l-508.77, c-508.77, v-103, oi-0.0
2021-05-21, o-509.005, h-509.005, l-509.005, c-509.005, v-104, oi-0.0
2021-05-21, o-509.185, h-509.185, l-509.185, c-509.185, v-142, oi-0.0
2021-05-21, o-508.93, h-508.93, l-508.93, c-508.93, v-111, oi-0.0
2021-05-21, o-508.24, h-508.4, l-508.24, c-508.32, v-704, oi-0.0
2021-05-21, o-508.595, h-508.595, l-508.595, c-508.595, v-112, oi-0.0
2021-05-21, o-508.4, h-508.4, l-508.22, c-508.22, v-499, oi-0.0
2021-05-21, o-508.27, h-508.51, l-508.27, c-508.51, v-330, oi-0.0
2021-05-21, o-508.36, h-508.36, l-507.42, c-507.42, v-1058, oi-0.0
2021-05-21, o-507.43, h-507.69, l-507.43, c-507.69, v-681, oi-0.0
2021-05-21, o-507.39, h-507.39, l-506.59, c-506.59, v-711, oi-0.0
2021-05-21, o-506.96, h-507, l-506.96, c-507, v-421, oi-0.0
