Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27 23:00:00, 29.42, 29.62, 28.53, 28.65, 1507450, 0.0
2020-05-28 23:00:00, 28.56, 28.93, 28.07, 28.76, 1105428, 0.0
2020-05-31 23:00:00, 28.89, 29.41, 28.8, 29.14, 595214, 0.0
2020-06-01 23:00:00, 29.18, 29.36, 28.58, 28.86, 1339544, 0.0
2020-06-02 23:00:00, 29.21, 30.59, 29.21, 30.2, 1182459, 0.0
2020-06-03 23:00:00, 30.03, 30.43, 29.58, 29.95, 1896370, 0.0
2020-06-04 23:00:00, 30.96, 31.51, 30.12, 30.25, 1313385, 0.0
2020-06-07 23:00:00, 30.39, 32.05, 30.39, 31.7, 4337724, 0.0
2020-06-08 23:00:00, 31.27, 31.36, 30.26, 30.33, 2115090, 0.0
2020-06-09 23:00:00, 30.13, 30.25, 29.12, 29.725, 1333082, 0.0
2020-06-10 23:00:00, 28.71, 28.78, 27.51, 27.63, 1389073, 0.0
2020-06-11 23:00:00, 28.38, 28.62, 27.51, 27.61, 559070, 0.0
2020-06-14 23:00:00, 26.97, 29.36, 26.861, 28.86, 2370746, 0.0
2020-06-15 23:00:00, 29.7, 30.02, 27.715, 28.01, 2825025, 0.0
2020-06-16 23:00:00, 28, 28.1, 27.54, 27.76, 1232193, 0.0
2020-06-17 23:00:00, 27.57, 28.69, 27.48, 28.66, 727924, 0.0
2020-06-18 23:00:00, 29.15, 29.49, 27.82, 27.84, 2530130, 0.0
2020-06-21 23:00:00, 27.55, 27.77, 27.17, 27.62, 686516, 0.0
2020-06-22 23:00:00, 27.86, 28.36, 27.78, 27.8, 686669, 0.0
2020-06-23 23:00:00, 27.39, 27.59, 26.46, 27.01, 921071, 0.0
2020-06-24 23:00:00, 26.75, 26.82, 26.125, 26.75, 1469430, 0.0
2020-06-25 23:00:00, 26.62, 26.62, 25.4, 25.74, 1851038, 0.0
2020-06-28 23:00:00, 25.99, 26.84, 25.6, 26.795, 1258104, 0.0
2020-06-29 23:00:00, 26.76, 26.9, 26.44, 26.82, 951391, 0.0
2020-06-30 23:00:00, 26.8, 27.36, 26.52, 26.92, 1659289, 0.0
2020-07-01 23:00:00, 27.46, 27.65, 26.46, 26.55, 1144248, 0.0
2020-07-05 23:00:00, 26.94, 27.0731, 26.2, 26.52, 783584, 0.0
2020-07-06 23:00:00, 26.26, 26.3, 25.71, 25.79, 907981, 0.0
2020-07-07 23:00:00, 25.76, 25.76, 25.1, 25.39, 733855, 0.0
2020-07-08 23:00:00, 25.28, 25.36, 24.03, 24.48, 981787, 0.0
2020-07-09 23:00:00, 24.33, 25.41, 24.33, 25.4, 702144, 0.0
2020-07-12 23:00:00, 25.38, 25.62, 24.41, 25.06, 1546858, 0.0
2020-07-13 23:00:00, 24.67, 25.48, 24.54, 25.14, 1117860, 0.0
2020-07-14 23:00:00, 25.33, 26.38, 25.33, 26.25, 1276502, 0.0
2020-07-15 23:00:00, 25.95, 26.54, 25.89, 26.37, 796008, 0.0
2020-07-16 23:00:00, 26.51, 26.51, 25.14, 25.26, 1892962, 0.0
2020-07-19 23:00:00, 25.08, 25.32, 24.3, 24.83, 1279075, 0.0
2020-07-20 23:00:00, 24.97, 25.72, 24.9548, 25.37, 1009528, 0.0
2020-07-21 23:00:00, 25.25, 25.9, 25.19, 25.87, 839571, 0.0
2020-07-22 23:00:00, 25.92, 26.42, 25.92, 26.12, 689106, 0.0
2020-07-23 23:00:00, 26.48, 27.2, 26.18, 26.5, 796036, 0.0
2020-07-26 23:00:00, 26.38, 26.54, 25.438, 25.7, 891484, 0.0
2020-07-27 23:00:00, 25.56, 26.11, 25.445, 25.73, 610641, 0.0
2020-07-28 23:00:00, 25.67, 26.11, 25.4205, 25.92, 616355, 0.0
2020-07-29 23:00:00, 25.46, 26.01, 25.26, 25.87, 561655, 0.0
2020-07-30 23:00:00, 25.65, 25.8, 25.23, 25.77, 741472, 0.0
2020-08-02 23:00:00, 25.87, 26.32, 25.43, 26.28, 531347, 0.0
2020-08-03 23:00:00, 26.16, 27.06, 26.16, 26.7, 705190, 0.0
2020-08-04 23:00:00, 26, 26.16, 24.28, 24.85, 1796211, 0.0
2020-08-05 23:00:00, 24.9795, 25.41, 24.725, 25.16, 1336256, 0.0
2020-08-06 23:00:00, 24.94, 25.17, 24.46, 24.9, 1637215, 0.0
2020-08-09 23:00:00, 24.825, 24.825, 24.4, 24.66, 1315141, 0.0
2020-08-10 23:00:00, 24.93, 25.72, 24.87, 24.94, 1436092, 0.0
2020-08-11 23:00:00, 25.17, 25.37, 24.82, 25.2, 999054, 0.0
2020-08-12 23:00:00, 24.97, 25.72, 24.94, 25.69, 771205, 0.0
2020-08-13 23:00:00, 25.67, 26.09, 25.41, 25.81, 607361, 0.0
2020-08-16 23:00:00, 25.93, 25.93, 25.27, 25.73, 576823, 0.0
2020-08-17 23:00:00, 25.78, 25.95, 25.63, 25.72, 956078, 0.0
2020-08-18 23:00:00, 25.78, 26.24, 25.75, 25.92, 699512, 0.0
2020-08-19 23:00:00, 25.73, 26.05, 25.58, 25.91, 595330, 0.0
2020-08-20 23:00:00, 25.78, 26.055, 25.62, 26.02, 835792, 0.0
2020-08-23 23:00:00, 25.99, 27.19, 25.99, 27.07, 1159526, 0.0
2020-08-24 23:00:00, 27.19, 27.255, 26.43, 26.97, 1099362, 0.0
2020-08-25 23:00:00, 26.8, 27.312, 26.75, 27.14, 1091414, 0.0
2020-08-26 23:00:00, 27.43, 27.84, 27.33, 27.65, 882020, 0.0
2020-08-27 23:00:00, 27.83, 27.965, 27.51, 27.92, 768246, 0.0
2020-08-30 23:00:00, 27.9, 28.44, 27.695, 27.79, 1303168, 0.0
2020-08-31 23:00:00, 27.36, 27.56, 27.07, 27.5, 1224178, 0.0
2020-09-01 23:00:00, 27.58, 28.15, 27.45, 27.98, 961771, 0.0
