Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27 23:00:00, 224.3, 231.6332, 224, 225.33, 27478541, 0.0
2020-05-28 23:00:00, 225.2, 227.49, 222.88, 224.21, 18706304, 0.0
2020-05-31 23:00:00, 224.59, 232.44, 223.5, 231.94, 33886754, 0.0
2020-06-01 23:00:00, 230.94, 233, 226.56, 232.83, 36197240, 0.0
2020-06-02 23:00:00, 232.11, 232.65, 228.53, 230.06, 28224941, 0.0
2020-06-03 23:00:00, 229.56, 231.63, 224.61, 226.29, 15405418, 0.0
2020-06-04 23:00:00, 226.71, 231.35, 225.3105, 230.78, 14358315, 0.0
2020-06-07 23:00:00, 229.03, 231.55, 227.41, 231.42, 27642194, 0.0
2020-06-08 23:00:00, 231.52, 239.77, 230.41, 238.69, 50558498, 0.0
2020-06-09 23:00:00, 240.96, 241.21, 235.28, 236.68, 18383287, 0.0
2020-06-10 23:00:00, 229.94, 232.89, 223.55, 224.45, 47636272, 0.0
2020-06-11 23:00:00, 229.9, 231.66, 227.3102, 227.3401, 6834224, 0.0
2020-06-14 23:00:00, 225.09, 233.77, 224.8, 232.47, 27221583, 0.0
2020-06-15 23:00:00, 237.14, 238.46, 233, 235.81, 26637700, 0.0
2020-06-16 23:00:00, 235, 237.59, 231.7268, 235.53, 36276677, 0.0
2020-06-17 23:00:00, 234.99, 236.14, 232.15, 235.975, 28476274, 0.0
2020-06-18 23:00:00, 237.79, 240.83, 235.55, 238.65, 22967089, 0.0
2020-06-21 23:00:00, 238.56, 240.7, 236.91, 239.3, 17497491, 0.0
2020-06-22 23:00:00, 241.28, 245.1853, 239.86, 242.14, 22512681, 0.0
2020-06-23 23:00:00, 241.2, 243.22, 232.68, 234.08, 19170135, 0.0
2020-06-24 23:00:00, 234.62, 237.3, 232.74, 235.47, 17150061, 0.0
2020-06-25 23:00:00, 232.64, 233.09, 215.4, 215.86, 69638977, 0.0
2020-06-28 23:00:00, 209.75, 220.75, 207.11, 220.71, 55040667, 0.0
2020-06-29 23:00:00, 220.59, 227.5, 218.47, 227.05, 30334236, 0.0
2020-06-30 23:00:00, 228.5, 239, 227.56, 237.53, 41842647, 0.0
2020-07-01 23:00:00, 239, 240, 232.61, 233.46, 28035447, 0.0
2020-07-05 23:00:00, 233.76, 240.4, 232.27, 240.3, 23995427, 0.0
2020-07-06 23:00:00, 239.41, 247.65, 238.82, 240.86, 25959274, 0.0
2020-07-07 23:00:00, 238.11, 246.99, 236.59, 243.57, 28709954, 0.0
2020-07-08 23:00:00, 245, 246.525, 239.24, 244.46, 21030418, 0.0
2020-07-09 23:00:00, 243.685, 245.49, 239.32, 245.06, 21257783, 0.0
2020-07-12 23:00:00, 247.005, 250.15, 238.42, 239.02, 22980602, 0.0
2020-07-13 23:00:00, 236.76, 240.33, 232.03, 239.73, 21476590, 0.0
2020-07-14 23:00:00, 241.55, 244.82, 238.05, 240.29, 17193831, 0.0
2020-07-15 23:00:00, 238, 241.76, 236.3306, 240.32, 16300379, 0.0
2020-07-16 23:00:00, 241, 244.16, 237.86, 241.98, 16202447, 0.0
2020-07-19 23:00:00, 240.06, 246.05, 235.635, 245.42, 19022783, 0.0
2020-07-20 23:00:00, 246.22, 246.91, 240.08, 241.76, 16203897, 0.0
2020-07-21 23:00:00, 240.26, 241.9, 238.12, 239.8027, 14188775, 0.0
2020-07-22 23:00:00, 239.63, 242.42, 231.75, 232.61, 12555488, 0.0
2020-07-23 23:00:00, 230.19, 233.49, 226.9, 230.82, 17260561, 0.0
2020-07-26 23:00:00, 231.46, 234.95, 230.83, 233.5, 11384975, 0.0
2020-07-27 23:00:00, 234.63, 234.96, 229.83, 230.1, 12989626, 0.0
2020-07-28 23:00:00, 231.14, 233.7, 230.31, 233.27, 12494364, 0.0
2020-07-29 23:00:00, 230.22, 234.893, 229, 234.6, 14231024, 0.0
2020-07-30 23:00:00, 255.82, 255.85, 249, 253.71, 48764250, 0.0
2020-08-02 23:00:00, 252.65, 255.4, 250.33, 251.84, 16564731, 0.0
2020-08-03 23:00:00, 251.56, 252.8, 247.43, 249.83, 15733319, 0.0
2020-08-04 23:00:00, 250.19, 252.2698, 247.77, 249.13, 11970264, 0.0
2020-08-05 23:00:00, 249.04, 266.6, 248.665, 265.28, 43852674, 0.0
2020-08-06 23:00:00, 264.08, 278.89, 263.43, 268.5, 71746335, 0.0
2020-08-09 23:00:00, 268.23, 269.48, 259.69, 263, 22372400, 0.0
2020-08-10 23:00:00, 260.185, 265.915, 255.13, 256.11, 26559786, 0.0
2020-08-11 23:00:00, 258.97, 263.8973, 258.1125, 259.82, 19905750, 0.0
2020-08-12 23:00:00, 261.55, 265.16, 259.57, 261.3, 16085121, 0.0
2020-08-13 23:00:00, 262.305, 262.65, 258.6801, 261.24, 13368191, 0.0
2020-08-16 23:00:00, 262.5, 264.0973, 259.4, 261.23, 11418578, 0.0
2020-08-17 23:00:00, 260.95, 265.15, 259.26, 262.33, 16917862, 0.0
2020-08-18 23:00:00, 261.388, 267.908, 261.35, 262.72, 21872596, 0.0
2020-08-19 23:00:00, 261.5, 269.63, 261.46, 269.01, 18689661, 0.0
2020-08-20 23:00:00, 268.69, 270.49, 266.42, 267.01, 13502829, 0.0
2020-08-23 23:00:00, 271.07, 277.2478, 268.7701, 271.43, 22664349, 0.0
2020-08-24 23:00:00, 272.41, 283.09, 270.2601, 280.82, 39797963, 0.0
2020-08-25 23:00:00, 284, 304.67, 284, 303.91, 65404754, 0.0
2020-08-26 23:00:00, 300.16, 301.23, 292.02, 293.17, 28654463, 0.0
2020-08-27 23:00:00, 295, 297.23, 290.98, 293.67, 15612909, 0.0
2020-08-30 23:00:00, 293.95, 296.88, 291.55, 293.0901, 15101967, 0.0
2020-08-31 23:00:00, 294.71, 301.49, 292.71, 295.5, 16279949, 0.0
2020-09-01 23:00:00, 298.88, 303.6, 293.05, 302.5, 21809532, 0.0
2020-09-02 23:00:00, 295.99, 297.6, 283.63, 291.12, 29320692, 0.0
2020-09-03 23:00:00, 287.25, 289, 271.14, 282.625, 28312149, 0.0
2020-09-07 23:00:00, 271.28, 279.3, 269.42, 270.93, 22385524, 0.0
2020-09-08 23:00:00, 275.77, 278.48, 271.35, 273.7, 20803210, 0.0
2020-09-09 23:00:00, 275.8, 279.16, 267.0319, 268.0259, 19386135, 0.0
2020-09-10 23:00:00, 270.06, 271.39, 262.64, 266.6, 17925051, 0.0
2020-09-13 23:00:00, 270.95, 276.64, 265.7, 266.14, 21907343, 0.0
2020-09-14 23:00:00, 270.67, 274.52, 269.3, 272.46, 17159921, 0.0
2020-09-15 23:00:00, 267.29, 272.44, 261.79, 263.6, 27814894, 0.0
2020-09-16 23:00:00, 258.28, 261.5, 250.19, 254.87, 28542348, 0.0
2020-09-17 23:00:00, 258.405, 259.2, 250.05, 252.29, 23650916, 0.0
2020-09-20 23:00:00, 247.54, 249.95, 244.13, 248.04, 21743576, 0.0
2020-09-21 23:00:00, 253.31, 255.32, 248.22, 254.73, 27665082, 0.0
2020-09-22 23:00:00, 255.26, 257.9921, 248.15, 249.02, 16687178, 0.0
2020-09-23 23:00:00, 246.5, 252.24, 245.62, 249.52, 17292547, 0.0
2020-09-24 23:00:00, 249.4, 255.75, 246.61, 254.82, 16333161, 0.0
2020-09-27 23:00:00, 259.4, 259.6, 254.8208, 256.91, 14348908, 0.0
2020-09-28 23:00:00, 257.81, 263.27, 256.9, 261.79, 17931000, 0.0
